Distance 6:
1567535 1063847
1394564 1508001
1378619 1303143
1039038 718905
1050553 2180292
1447845 891634

Distance 8:
1925058 2
2256253 2
1116782 2
1929186 2
288901 2
1985807 2
882306 2
88609 2
943280 2
367115 2
249500 2
1916578 2
2168282 2
1151647 2
2076692 2
1077686 2
1225665 2
2368528 2
458088 2
1292523 2
1449679 2
703018 2
1327383 2
61213 2
2350989 2
1163096 2
2374637 2
1416686 2
215051 2
322382 2
1304313 2
1360728 3
2037535 2
638430 2
2158981 2
2230968 2
1591751 2
661696 2
212146 2
983400 2
1901565 2
1542224 2
97960 2
356726 2
2280262 2
138650 2
2385584 2
703164 2
1210321 2
651169 2
359852 2
1717999 2
42800 2
374635 2
2388346 2
942810 2
1212700 2
1474920 2
1156635 2
234145 2
348158 2
1719461 2
1588839 2
924287 3
255910 2
1153071 2
1954296 2
504190 2
610752 2
866718 2
103821 2
2300547 2
2160930 2
1987201 2
1166798 2
1181341 2
1762088 2
414615 2
1531859 2
2328350 2
1531014 2
974110 2
1342354 2
1317472 2
1935653 2
2105916 2
684279 2
943242 2
1128396 2
1991437 2
1071059 2
1251542 2
397053 2
2230674 2
1064236 2
2121250 2
847434 2
812806 2
1071807 2
8493 2
563794 2
1116492 2
362487 2
872009 2
223472 2
1726751 2
1431112 2
968378 2
115490 2
810869 2
1695835 2
1392760 2
2386807 2
2238021 2
1085378 2
1679458 2
164884 2
245637 2
2062457 2
2003160 2
2205792 2
2044199 2
2205887 2
1768488 2
956136 2
1293129 2
1070854 2
1597831 2
291959 2
1131935 2
942912 2
1411762 2
714820 2
2074416 2
2175744 2
2242823 2
2288310 2
906482 2
2195975 2
1242280 2
294779 2
1037811 2
1574677 2
2286430 2
1865692 2
1808329 2
772016 2
1529661 2
1120375 2
225812 2
1543155 2
1600390 2
187319 2
689556 2
289770 2
1785571 2
483195 2
2094564 2
1694177 2
417680 2
1289966 2
428431 2
1140420 2
1394191 2
1334954 2
1529746 2
1041386 2
2127790 2
911648 2
1430898 2
1058223 2
217356 2
1765449 2
311508 2
783768 2
402406 2
1772901 2
2365842 2
467385 2
947042 2
1773265 3
801487 2
2311829 2
1280134 2
1004582 2
1913395 2
1436559 2
316116 2
564506 2
910309 2
1911283 2
1579988 2
2034996 2
1361401 2
126345 2
1754291 2
1073277 2
2079248 2
1303058 2
665027 2
201583 2
589155 2
76180 2
686970 2
1701089 2
502755 2
2074928 2
888331 2
2147728 2
500793 2
1833576 2
1882063 2
724585 2
2394241 2
1016124 2
1552327 2
2036214 2
158448 2
2045077 2
1497198 2
127965 2
408645 2
171411 2
1417951 2
1153062 2
428237 2
1809369 2
1400988 2
1436578 2
2306822 2
2144764 2
208095 2
2050363 2
1176164 2
1820461 2
58217 2
563492 2
2051881 2
1406711 2
501879 2
1046611 2
428224 2
956516 2
1176039 2
573530 2
1932213 2
628854 2
928648 2
2069370 2
2099434 2
1109975 2
1311330 2
1415996 2
1738605 2
1413345 2
2105766 2
720260 2
155623 2
1205761 2
2112745 2
1003079 2
2137720 2
77242 2
1063481 2
1344542 2
1881699 2
221743 2
1071982 2
838662 2
329923 2
1445643 2
1844162 2
585133 2
874148 2
1213639 3
2302507 2
70291 2
344980 2
1736800 2
1747384 2
2038186 2
158112 2
1194923 2
2125045 2
2117571 2
599456 2
1777844 2
1850662 2
1368947 2
1535050 2
1568726 2
1388653 2
2387457 2
1795392 3
637558 2
1437736 3
1345386 2
1416774 2
2187867 2
1612478 2
544427 2
2214811 2
1271542 2
1243704 2
1230965 2
620914 2
757246 2
1074904 2
2323250 2
1646855 2
2176618 2
1693439 2
1577790 2
1278865 2
246005 2
1889942 2
376782 2
666940 2
1235072 2
476213 2
289617 2
2014060 2
318757 2
814588 2
2031451 2
2194183 2
223679 2
1900262 2
903519 2
2350796 2
500145 2
1008081 2
1452096 2
2006346 2
1094172 2
1379966 2
430600 2
383721 2
2082978 2
2239595 2
538830 2
806429 2
2074234 2
2046686 2
1184352 2
2273132 2
1682587 2
1800947 2
698086 2
363147 2
1096331 2
2332252 2
1983718 2
1577033 2
2037656 2
1146578 2
1943547 2
1682049 2
1798384 2
829601 2
1472921 2
1768095 2
688161 2
1532916 2
1235658 2
1649790 2
1035230 2
1464100 2
2268888 2
886739 2
620086 2
1986136 2
1385337 2
468815 2
1500187 2
1066861 2
999940 2
2224291 2
556084 2
15687 2
1247684 2
2011448 2
1643931 2
2068889 2
1566233 2
1849120 2
2042398 2
2166503 2
2023978 2
1950251 2
1885572 2
2324149 2
2221331 2
1671875 2
1139170 2
517646 2
798349 2
1342289 2
1885236 2
1107871 2
2309915 2
292707 2
580453 2
1585701 2
1275206 2
331845 2
1474360 2
1324063 2
490580 2
2026793 2
2351720 2
731081 2
1267439 2
1715261 2
1465685 2
2018703 2
1052574 2
586711 2
612842 2
592482 2
374470 2
1268593 2
2256993 2
1349639 2
1600214 2
1740731 2
999497 2
